jmbag;oib;name;surname;gender;dateOfBirth;placeOfBirth;address;userID
1191236419;31089974756;Mateo;Matošević;Male;1.10.1998;Zagreb;Ante Jakšića 9;mamate.math@pmf.hr
1191239475;25463889101;Maja;Borić;Female;19.11.2001;Osijek;Varnička 52;bomaja.math@pmf.hr
1191231649;77123332177;Lovro;Vitez;Male;7.10.1999;Rijeka;Vladimira Vidrića 10;vilovr.math@pmf.hr
1191238255;42236542012;Leona;Lovrić;Female;23.4.1996;Bjelovar;Gjalskog 74;loleon.math@pmf.hr
1191232562;82012233998;Ela;Draganić;Female;29.7.1995;Split;Frankopanska 7;drlea.math@pmf.hr
1191233554;16742322541;Marta;Benković;Female;30.9.2000;Dubrovnik;Ilica 243;bemart.math@pmf.hr
1191233453;69856956423;Marko;Filipović;Male;15.5.1994;Makarska;Ante Sratčevića 52;fimark.math@pmf.hr
1191235924;73652654297;Mario;Barić;Male;14.4.1999;Vukovar;Istarska 26;bamari.math@pmf.hr
1191286252;13232245678;Nikola;Novosel;Male;2.8.2000;Križevci;Ferde Rusana 95;noniko.math@pmf.hr
1191233256;85245698743;Marija;Miletić;Female;20.1.1997;Vrbovec;Andrije Kačića Miošića 8;mimari.math@pmf.hr
1191231153;52785898014;Josipa;Mihaljević;Female;12.6.2001;Zagreb;Draškovićeva 1;mijosi.math@pmf.hr
1191235131;28788556300;Ante;Jerković;Male;22.2.1996;Pula;Cvjetna 94;jeante.math@pmf.hr
1191236502;70145217595;Dorotea;Marjanović;Female;29.12.1999;Kaštel Novi;Jurja Haulika 63;madoro.math@pmf.hr
1191236315;39654045693;Goran;Topić;Male;31.1.1997;Karlovac;Antuna Mihanovića 8a;togora.math@pmf.hr
1191231942;90536458945;Stjepan;Delić;Male;9.7.2001;Požega;Vladka Mačeka 35;destje.math@pmf.hr
1191237461;23450210324;Lucija;Pavičić;Female;18.5.1994;Pula;Osječka 159;paluci.math@pmf.hr
1191235716;49652456210;Marta;Špoljarić;Female;5.12.1998;Daruvar;Baranjska 6;spmart.math@pmf.hr
1191230510;10238622433;Katarina;Kolar;Female;30.9.2000;Zagreb;Bilogroska 11c;kokata.math@pmf.hr
1191236057;60785856942;Luka;Brajković;Male;25.3.1999;Sisak;Ivana Zajca 61;brluka.math@pmf.hr
1191230246;46568945986;Dražen;Štimac;Male;9.7.1995;Velika Gorica;Eugena Kumičića 14;stdraz.math@pmf.hr
