oib;name;surname;dateOfBirth;placeOBirth;address;title;userID;gender
65958188230;Ivan;Horvat;5.11.1963;Zagreb;Ilica 70;redovni profesor;ivan.horvat@math.hr;Male
92718478627;Marko;Kovačić;14.10.1972;Split;Zagrebačka 35;izvanredni profesor;marko.kovacic@math.hr;Male
12334291598;Josip;Mandić;23.4.1957;Koprivnica;Karlovačka 22;redovni profesor;josip.mandic@math.hr;Male
35796863741;Ljubica;Marić;20.1.1958;Vrbovec;Dubrovačka 102;redovni profesor;ljubica.maric@math.hr;Female
89841430980;Marija;Tomić;14.7.1966;Dubrovnik;Bijenička 55;izvanredni profesor;marija.tomic@math.hr;Female
44465315485;Hrvoje;Radić;30.9.1978;Zagreb;Maksimirska 111;redovni profesor;hrvoje.radic@math.hr;Male
85437576249;Ana;Kovačević;15.3.1988;Poreč;Karlovačka 47;docent;ana.kovacevic@math.hr;Female
59411184594;Mario;Knežević;4.4.1987;Makarska;Istarska 10;docent;mario.knezevic@math.hr;Male
66482309904;Nikola;Perković;16.8.1979;Varaždin;Dalmatinska 31;izvanredni profesor;nikola.perkovic@math.hr;Male
98193542316;Petar;Matić;20.11.1990;Čakovec;Frankopanska 7;docent;petar.matic@math.hr;Male
56954001817;Josipa;Petrović;11.6.1981;Križevci;Varšavska 31;redovni profesor;josipa.petrovic@math.hr;Female
17413564063;Ante;Pavlić;22.2.1983;Vinkovci;Cvjetna 14;docent;ante.pavlic@math.hr;Male
21431750254;Tomislav;Babić;29.12.1968;Osijek;Prisavlje 5;redovni profesor;tomislav.babic@math.hr;Male
99362482956;Ivana;Kovač;1.3.1985;Bjelovar;Savska 147;izvanredni profesor;ivana.kovac@math.hr;Female
21884656195;Stjepan;Božić;22.10.1955;Zagreb;Selska 30;redovni profesor;stjepan.bozic@math.hr;Male
50941731845;Mirjana;Novak;18.5.1962;Split;Horvaćanska 41;redovni profesor;mirjana.novak@math.hr;Female
19894756100;Zvonimir;Jukić;5.4.1983;Šibenik;Branimirova 101;docent;zvonimir.jukic@math.hr;Male
89709571848;Katarina;Vuković;30.11.1982;Zadar;Heinzelova 82;izvanredni profesor;katarina.vukovic@math.hr;Female
75167083356;Marina;Marković;27.3.1990;Ogulin;Držićeva 38;docent;marina.markovic@math.hr;Female
59641819401;Franjo;Jurić;11.6.1970;Karlovac;Ilica 243;redovni profesor;franjo.juric@math.hr;Male
